company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
Western Carriers (India) Ltd.,2024,2024-09-24,-0.0729651162790698,Western_Carriers__India__Ltd_,182265,28191,66,66,0,,False,1,7,12,0,0,1,1,3,7,2,14,14,0,0,0,ok,ok
Manba Finance Ltd.,2024,2024-09-30,0.3120833333333332,Manba_Finance_Ltd_,188745,29303,74,74,0,,False,1,4,0,0,0,1,0,6,6,0,4,3,0,0,0,ok,ok
KRN Heat Exchanger & Refrigeration Ltd.,2024,2024-10-03,1.1747727272727273,KRN_Heat_Exchanger___Refrigeration_Ltd_,209668,32170,89,92,3,"8,19,32",False,0,4,2,2,0,2,0,0,8,0,8,2,0,3,0,ok,ok
Diffusion Engineers Ltd.,2024,2024-10-04,0.1747023809523809,Diffusion_Engineers_Ltd_,211460,33030,80,80,0,,False,0,8,2,2,0,2,0,0,0,0,9,8,3,0,0,ok,ok
Garuda Construction & Engineering Ltd.,2024,2024-10-15,0.1245263157894736,Garuda_Construction___Engineering_Ltd_,195628,30437,86,86,0,,False,5,1,0,0,0,2,0,0,0,0,7,7,0,0,0,ok,ok
Hyundai Motor India Ltd.,2024,2024-10-22,-0.0712244897959183,Hyundai_Motor_India_Ltd_,270526,42196,94,94,0,,False,2,3,0,0,0,1,0,0,15,0,9,17,7,0,0,ok,ok
Deepak Builders & Engineers India Ltd.,2024,2024-10-28,-0.2024630541871921,Deepak_Builders___Engineers_India_Ltd_,199897,31299,82,82,0,,False,8,10,0,0,0,9,0,1,10,1,3,20,21,1,1,ok,ok
Waaree Energies Ltd.,2024,2024-10-28,0.5547571523619429,Waaree_Energies_Ltd_,232018,36348,92,92,0,,False,0,7,11,3,0,1,0,3,8,0,15,6,2,4,18,ok,ok
Godavari Biorefineries Ltd.,2024,2024-10-30,-0.0259943181818181,Godavari_Biorefineries_Ltd_,172772,26717,76,77,1,35,False,1,16,2,4,0,1,0,0,4,0,5,6,0,0,0,ok,ok
Afcons Infrastructure Ltd.,2024,2024-11-04,0.0249460043196544,Afcons_Infrastructure_Ltd_,231169,35888,93,93,0,,False,0,9,0,0,0,20,2,0,9,1,6,13,12,0,0,ok,ok
